,0
ain,float64
tocstatus,object
confirmtoc,float64
include,int64
abovetoc,int64
linked,int64
baseunder50,float64
tract,float64
jobs_idx,float64
address,object
cp_casenum,object
full_approvetime,object
minus_holddays,int64
holddays,float64
zc_floorarea,object
total_units,int64
aff_units,float64
mr_units,float64
pct_aff,float64
councildistrict,float64
tocdist,float64
zipcode,float64
lv2012,float64
lv2020,float64
lv2015,float64
spadummy,float64
redevdummy,float64
geoid,float64
medianhouseholdincome16,float64
peroo16,float64
persingfam16,float64
medianhomevalue16,float64
mediangrossrent16,float64
cbddist,float64
cp_filing,object
cp_complet,object
cp_approva,object
var39,object
permit_num,object
ladbs_subm,object
ladbs_perm,object
permitfeesubtotal,object
basementlevelsbc,float64
basementlevelszc,float64
undefinedaffordableunits,object
var47,object
moccgroup,float64
retail,float64
r2occgroupsqft,float64
s2occgroupsqft,float64
longtermbicycleparkingprovided,float64
longtermbicycleparkingrequired,float64
parkingrequiredautobicycle,float64
providedcompact,float64
provideddisabled,float64
providedstandard,float64
totalparking,float64
parkingratio,float64
shorttermbicycleparkingprovided,float64
shorttermbicycleparkingrequired,object
constructiontype1,object
constructiontype2,object
constructiontype3,object
var65,float64
multi_parcel,object
rectangle_ratio,float64
n_vertices,float64
neighbors,float64
corner,object
corner_check,object
match_type,object
intersection,float64
alley,float64
ln_time,float64
ln_units,float64
affordable,float64
ln_income,float64
tocborder,float64
half_mile_border,float64
odd_lot,float64
basement,float64
parking_req_perunit,float64
lnparking,float64
nonTOCdisc,float64
third_border,float64
quarter_mile,float64
moige,object
year,float64
_merge,object
