ain,tocstatus,confirmtoc,include,abovetoc,linked,baseunder50,tract,jobs_idx,address,cp_casenum,full_approvetime,minus_holddays,holddays,zc_floorarea,total_units,aff_units,mr_units,pct_aff,councildistrict,tocdist,zipcode,lv2012,lv2020,lv2015,spadummy,redevdummy,geoid,medianhouseholdincome16,peroo16,persingfam16,medianhomevalue16,mediangrossrent16,cbddist,cp_filing,cp_complet,cp_approva,var39,permit_num,ladbs_subm,ladbs_perm,permitfeesubtotal,basementlevelsbc,basementlevelszc,undefinedaffordableunits,var47,moccgroup,retail,r2occgroupsqft,s2occgroupsqft,longtermbicycleparkingprovided,longtermbicycleparkingrequired,parkingrequiredautobicycle,providedcompact,provideddisabled,providedstandard,totalparking,parkingratio,shorttermbicycleparkingprovided,shorttermbicycleparkingrequired,constructiontype1,constructiontype2,constructiontype3,var65,multi_parcel,rectangle_ratio,n_vertices,neighbors,corner,corner_check,match_type,intersection,alley,ln_time,ln_units,affordable,ln_income,tocborder,half_mile_border,odd_lot,basement,parking_req_perunit,lnparking,nonTOCdisc,third_border,quarter_mile,moige,year,_merge
2138003020.0,Non-TOC BR,,1,0,0,1.0,134520.0,76.0,7043 N JORDAN AVE,,363,363,,42095,33,0.0,33.0,0.0,3.0,-3360.4695,91303.0,581700.0,2177800.0,1401300.0,0.0,1.0,6037134520.0,40016.0,16.990036,15.938431,257300.0,1094.0,22.574484,#N/A,#N/A,#N/A,7043 N JORDAN AVE,17010-20000-02093,5/31/2017,5/29/2018,"$215,262",#N/A,#N/A,#N/A,0,0.0,0.0,44300.0,25627.0,33.0,33.0,58.0,28.0,2.0,33.0,63.0,1.9,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.9995192,7.0,2.0,no,yes,address,0.0,0.0,5.894403,3.4965076,0.0,10.597034,1.0,,0.0,0.0,1.7575758,4.1431346,0.0,,,matched (3),2017.0,matched (3)
2138022010.0,Non-TOC Disc,,1,0,0,0.0,132501.0,17.0,21121 W VANOWEN ST,DIR-2016-4563-SPP,749,749,,97611.8,101,0.0,101.0,0.0,3.0,715.64667,91335.0,936000.0,2616100.0,1835200.0,0.0,0.0,6037132501.0,50363.0,44.093777,59.538067,388900.0,1190.0,19.622013,11/30/2016,12/30/2016,11/14/2017,21121 W VANOWEN ST,16010-20000-06159,12/23/2016,12/19/2018,"$502,910",#N/A,#N/A,#N/A,0,3977.0,1.0,95092.0,46493.0,102.0,101.0,213.0,20.0,3.0,98.0,121.0,1.2,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.9966215,22.0,2.0,yes,yes,address,1.0,0.0,6.618739,4.6151204,0.0,10.827012,0.0,1.0,0.0,0.0,2.1089108,4.7957907,1.0,1.0,1.0,matched (3),2016.0,matched (3)
2146001025.0,Non-TOC Disc,,1,1,0,0.0,-6036998656.0,,6263 N TOPANGA CANYON BLVD,DIR-2016-2889-SPP-SPPA,799,575,224.0,"662,175",343,,,,3.0,,91367.0,,,,,,1351.14,,,,,,,8/9/2016,3/15/2017,8/30/2017,,16010-10000-04799,10/17/2016,10/17/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.35437,5.8377304,1.0,,0.0,,0.0,0.0,,,1.0,,,using only (2),2016.0,matched (3)
2148027005.0,Non-TOC Disc,,1,0,0,1.0,132501.0,17.0,20944 W VANOWEN ST,DIR-2016-3485-AC,540,540,,46360,38,0.0,38.0,0.0,3.0,715.64667,91335.0,936000.0,2616100.0,1835200.0,0.0,0.0,6037132501.0,50363.0,44.093777,59.538067,388900.0,1190.0,19.622013,9/14/2016,5/1/2017,5/22/2017,20944 W VANOWEN ST,16010-10000-04924,10/25/2016,3/8/2018,"$204,340",1,1,0,0,0.0,0.0,48220.0,22706.0,38.0,38.0,90.0,4.0,2.0,42.0,48.0,1.3,4,4,I-A,III-A,0,,,0.99996984,5.0,3.0,no,yes,AIN,0.0,0.0,6.291569,3.637586,0.0,10.827012,0.0,1.0,0.0,1.0,2.368421,3.871201,1.0,1.0,1.0,matched (3),2016.0,matched (3)
2148029029.0,Non-TOC Disc,,1,1,0,0.0,-6036998656.0,,21050 W KITTRIDGE ST,DIR-2018-3324-SPP,375,241,134.0,"643,368",395,,,,3.0,,91303.0,,,,,,1349.03,,,,,,,6/11/2018,7/11/2018,2/12/2019,,18010-10000-04971,10/19/2018,6/21/2019,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.484797,5.9788857,1.0,,0.0,,0.0,0.0,,,1.0,,,using only (2),2018.0,matched (3)
2149001027.0,Non-TOC Disc,,1,1,0,0.0,-6036998656.0,,6233 N VARIEL AVE,DIR-2017-4199-SPP,624,617,7.0,"523,012",336,,,,3.0,,91367.0,,,,,,1349.05,,,,,,,10/17/2017,11/17/2017,6/7/2018,,18010-10000-04241,9/12/2018,7/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.424869,5.817111,1.0,,0.0,,0.0,0.0,,,1.0,,,using only (2),2018.0,matched (3)
2149004024.0,Non-TOC Disc,,1,1,0,0.0,-6036998656.0,,6200 N VARIEL AVE,DIR-2016-291-SPP-SPPA,826,748,78.0,"540,139",241,,,,3.0,,91367.0,,,,,,1349.05,,,,,,,2/1/2016,4/21/2016,10/11/2016,,16010-10000-01844,5/6/2016,5/7/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.617403,5.484797,1.0,,0.0,,0.0,0.0,,,1.0,,,using only (2),2016.0,matched (3)
2149005016.0,Non-TOC Disc,,1,1,0,0.0,-6036998656.0,,6041 N VARIEL AVE,DIR-2016-277-SPP,874,874,0.0,"468,420",274,,,,3.0,,91367.0,,,,,,1349.05,,,,,,,1/29/2016,6/7/2016,8/2/2016,,17010-10000-02060,6/12/2017,6/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.7730803,5.613128,1.0,,0.0,,0.0,0.0,,,1.0,,,using only (2),2017.0,matched (3)
2169026110.0,Non-TOC Disc,,1,1,0,0.0,-6036998656.0,,22121 W CLARENDON ST,CPC-2015-3686-ZC-HD-DB-SPP-SPR,817,588,229.0,"389,265",335,,,,3.0,,91367.0,,,,,,1374.01,,,,,,,10/8/2015,10/22/2015,12/30/2016,,17010-20000-01757,5/10/2017,1/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.376727,5.8141303,1.0,,0.0,,0.0,0.0,,,1.0,,,using only (2),2017.0,matched (3)
2206011022.0,Non-TOC BR,,1,0,0,1.0,127300.0,52.0,15755 W SATICOY ST,,497,497,,33532,24,0.0,24.0,0.0,6.0,2386.449,91406.0,1050800.0,2827900.0,1981200.0,0.0,0.0,6037127300.0,44924.0,30.16336,33.988766,394700.0,1063.0,16.734465,#N/A,#N/A,#N/A,15755 W SATICOY ST,17010-20000-03176,8/18/2017,12/28/2018,"$178,782",#N/A,#N/A,#N/A,0,0.0,0.0,33532.0,12786.0,24.0,24.0,75.0,25.0,1.0,23.0,49.0,2.0,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.99545294,18.0,2.0,yes,yes,address,1.0,0.0,6.20859,3.1780539,0.0,10.712728,0.0,1.0,0.0,0.0,3.125,3.8918202,0.0,,,matched (3),2017.0,matched (3)
