"","x"
"1",336951
"2",369667
"3",299831
"4",279724
"5",346189
"6",444554
"7",432824
"8",258120
"9",403681
"10",269430
"11",257509
"12",465326
"13",290208
"14",280215
"15",382078
"16",269705
"17",281384
"18",445382
"19",323887
"20",388946
"21",269034
"22",312477
"23",292946
"24",479296
"25",272087
"26",301568
"27",289227
"28",337266
"29",428420
"30",334105
"31",306309
"32",262118
"33",456736
"34",315476
"35",537222
"36",388885
"37",325596
"38",321529
"39",284652
"40",513100
"41",411047
"42",299197
"43",355313
"44",411273
"45",357145
"46",447488
"47",282951
"48",311259
"49",277256
"50",312088
"51",270276
"52",362617
"53",281412
"54",313956
"55",250939
"56",281768
"57",260782
"58",255412
"59",342400
"60",347391
"61",413930
"62",265168
"63",512864
"64",296462
"65",316841
"66",318483
"67",329980
"68",263690
"69",318865
"70",355712
"71",257557
"72",388725
"73",303121
"74",304299
"75",253596
"76",252445
"77",275918
"78",319993
"79",292985
"80",400074
"81",355978
"82",278390
"83",279175
"84",302903
"85",369734
"86",355781
"87",500068
"88",365907
"89",284343
"90",272476
"91",280292
"92",446894
"93",302195
"94",599057
"95",345253
"96",322658
"97",479179
"98",471990
"99",264876
"100",293628
"101",457162
"102",311101
"103",273989
"104",370242
"105",313817
"106",291676
"107",312286
"108",309990
"109",455379
"110",542610
"111",312403
"112",349751
"113",333301
"114",353881
"115",251396
"116",416165
"117",341672
"118",317313
"119",325179
"120",479600
"121",448026
"122",300333
"123",352640
"124",335902
"125",311376
"126",267859
"127",410034
"128",293073
"129",366154
"130",437200
"131",323798
"132",291333
"133",266439
"134",287129
"135",253250
"136",337239
"137",403107
"138",394708
"139",419984
"140",286675
"141",281025
"142",258832
"143",315971
"144",265097
"145",333636
"146",344073
"147",318912
"148",346341
"149",305090
"150",321435
"151",259716
"152",256504
"153",387540
"154",314819
"155",264663
"156",294121
"157",281668
"158",270181
"159",652784
"160",315984
"161",311311
"162",252616
"163",266138
"164",361978
"165",340899
"166",303170
"167",347025
"168",265144
"169",302679
"170",290763
"171",307973
"172",320071
"173",289889
"174",314890
"175",327435
"176",275967
"177",323987
"178",284763
"179",264012
"180",369438
"181",252431
"182",251730
"183",301251
"184",276157
"185",259169
"186",409173
"187",334291
"188",370261
"189",573446
"190",312206
"191",308673
"192",386299
"193",290286
"194",285570
"195",399705
"196",307767
"197",402230
"198",263908
"199",266983
"200",279337
"201",453233
"202",400943
"203",260265
"204",380922
"205",295706
"206",273457
"207",662460
"208",426589
"209",385330
"210",285200
"211",294672
"212",280005
"213",274680
"214",267464
"215",257006
"216",629900
"217",303092
"218",283281
"219",283969
"220",499971
"221",299680
"222",315037
"223",334744
"224",296538
"225",391937
"226",294434
"227",310885
"228",403965
"229",352080
"230",378426
"231",295896
"232",295538
"233",360401
"234",319962
"235",316702
"236",292549
"237",367037
"238",258339
"239",269509
"240",301302
"241",369367
"242",343591
"243",287229
"244",292603
"245",305619
"246",296991
"247",450770
"248",408988
"249",250087
"250",347491
"251",281982
"252",309017
"253",353083
"254",257992
"255",283174
"256",322183
"257",262678
"258",270710
"259",287547
"260",252217
"261",481987
"262",415578
"263",370498
"264",289909
"265",284078
"266",420040
"267",291181
"268",334032
"269",279344
"270",259087
"271",377850
"272",312939
"273",298696
"274",392812
"275",328167
"276",478373
"277",366425
"278",260198
"279",486194
