"","x"
"1",338409
"2",284582
"3",280464
"4",292175
"5",302146
"6",367260
"7",266015
"8",386940
"9",311512
"10",544091
"11",265477
"12",507875
"13",289980
"14",337895
"15",271466
"16",251585
"17",293936
"18",309974
"19",309634
"20",446839
"21",276515
"22",343591
"23",346253
"24",268234
"25",410867
"26",286730
"27",317660
"28",304873
"29",432376
"30",335605
"31",377869
"32",303090
"33",267989
"34",301606
"35",287828
"36",365739
"37",254202
"38",316868
"39",296158
"40",252903
"41",494223
"42",252752
"43",428030
"44",253814
"45",312956
"46",483777
"47",633742
"48",286370
"49",304030
"50",523910
"51",397317
"52",259323
"53",254817
"54",635913
"55",313321
"56",255004
"57",314209
"58",538583
"59",268700
"60",347890
"61",273905
"62",390781
"63",259014
"64",303044
"65",378322
"66",257295
"67",477983
"68",279472
"69",425161
"70",371987
"71",278130
"72",303296
"73",860348
"74",399087
"75",423158
"76",321171
"77",270942
"78",261192
"79",296478
"80",293364
"81",329752
"82",372020
"83",348022
"84",270092
"85",410439
"86",362589
"87",481060
"88",256649
"89",350845
"90",267404
"91",344991
"92",396099
"93",301302
"94",277946
"95",416103
"96",288353
"97",445382
"98",317253
"99",364657
"100",1033222
"101",426017
"102",255191
"103",287480
"104",284843
"105",340148
"106",363425
"107",405855
"108",298227
"109",290521
"110",258872
"111",351299
"112",288825
"113",285020
"114",303990
"115",279196
"116",281432
"117",271749
"118",401531
"119",286967
"120",347934
"121",371373
"122",343121
"123",262749
"124",403107
"125",303588
"126",324960
"127",388093
"128",543162
"129",251804
"130",337587
"131",267044
"132",259510
"133",319560
"134",323069
"135",264052
"136",334273
"137",433665
"138",354351
"139",350162
"140",283635
"141",340939
"142",267147
"143",410114
"144",339772
"145",369027
"146",462440
"147",267556
"148",268090
"149",262601
"150",289436
"151",402089
"152",556660
"153",292472
"154",288341
"155",335183
"156",261293
"157",341204
"158",368700
"159",430828
"160",262425
"161",316702
"162",335453
"163",475028
"164",295566
"165",296450
"166",271767
"167",382635
"168",295697
"169",378418
"170",271328
"171",299047
"172",352139
"173",332702
"174",260960
"175",279914
"176",316929
"177",267736
"178",267034
"179",356089
"180",285854
"181",420537
"182",386773
"183",283268
"184",301526
"185",327323
"186",280282
"187",282579
"188",279129
"189",316688
"190",274363
"191",315859
"192",270333
"193",254440
"194",680390
"195",257780
"196",280093
"197",499233
"198",321435
"199",291175
"200",387569
"201",327886
"202",285335
"203",309055
"204",368700
"205",266855
"206",282753
"207",411797
"208",376540
"209",270335
"210",258498
"211",406468
"212",372525
"213",341995
"214",278924
"215",311020
"216",543028
"217",257509
"218",274198
"219",262153
"220",373662
"221",375871
"222",465507
"223",293227
"224",250802
"225",325159
"226",269080
"227",398473
"228",298785
"229",288273
"230",526968
"231",323573
"232",368825
"233",255957
"234",284317
"235",318280
"236",254907
"237",349221
"238",335973
"239",290226
"240",329980
"241",343642
"242",356067
"243",271567
"244",767403
"245",368561
"246",389713
"247",431192
"248",289984
"249",341204
"250",263925
"251",296453
"252",302122
"253",277647
"254",377701
"255",412296
"256",361280
"257",260729
"258",293791
"259",289430
"260",290763
"261",288020
"262",294936
"263",347132
"264",316672
"265",250504
"266",328447
"267",354573
"268",293196
"269",520586
"270",302847
"271",445824
"272",275691
"273",284329
"274",350498
"275",404616
"276",411862
"277",356619
"278",289886
"279",416745
"280",444304
"281",320818
"282",344060
"283",321117
"284",320984
"285",349151
"286",354078
"287",358740
"288",265266
"289",413297
"290",441454
"291",326297
"292",397466
"293",283767
"294",369468
"295",343748
"296",387430
"297",409505
"298",323545
"299",386136
"300",342865
"301",370119
"302",421132
"303",795830
"304",278403
"305",279661
"306",280093
"307",265266
"308",301010
"309",419721
"310",256956
"311",283037
"312",509350
"313",327120
"314",256522
"315",293579
"316",285290
"317",324469
"318",275244
"319",265099
"320",269708
"321",467108
"322",257764
"323",444554
"324",403788
"325",449257
"326",349116
"327",266324
"328",289403
"329",398212
"330",260696
"331",325007
"332",352628
"333",329778
"334",256202
"335",297847
"336",296253
"337",441620
"338",347089
"339",336595
"340",256866
"341",298225
"342",333100
"343",563883
"344",311249
"345",310152
"346",255822
"347",263925
"348",256263
"349",293535
"350",278763
"351",402812
"352",395831
"353",290593
"354",431745
"355",436006
"356",298834
"357",284834
"358",265954
"359",473040
"360",315877
"361",352057
"362",261059
"363",257250
"364",266912
"365",322143
"366",910398
"367",273771
"368",318533
"369",451940
"370",379350
"371",370119
"372",310907
"373",375833
"374",428350
"375",328466
"376",258973
"377",345969
"378",405723
"379",284196
"380",285066
"381",323421
"382",421871
"383",273454
"384",443040
"385",420895
"386",375077
"387",281590
"388",415287
"389",256723
"390",266926
"391",376277
"392",267408
"393",367314
"394",303521
"395",314177
"396",377680
"397",294493
"398",496743
"399",304651
"400",349689
"401",251795
"402",266081
"403",288419
"404",272950
"405",339671
"406",429507
"407",311764
"408",267174
"409",282063
"410",332379
"411",418324
"412",263338
"413",286469
"414",272780
"415",261232
"416",312131
"417",338105
"418",273194
"419",538319
"420",386261
"421",298332
"422",399088
"423",282202
"424",508336
"425",263431
"426",445382
"427",270276
"428",339681
"429",324420
"430",278581
"431",255454
"432",329980
"433",303446
