Females,Males
99678,20665
99006,35528
64748,60081
51988,53025
89130,79537
187816,101986
20025,97909
54874,139320
117379,120446
126130,32562
36916,32477
116413,44869
77336,20325
75002,48404
37758,33753
33575,64586
29789,165120
69617,34212
90308,40431
49397,31063
175945,151117
61278,135734
21164,20134
110726,29247
89173,44771
45702,61739
81652,178279
52282,25856
58351,128042
104845,70709
56882,129865
130338,233693
90347,20725
42154,181462
95731,123105
109145,51263
58587,76726
45211,20628
77420,42440
129327,83692
41660,57325
104865,23739
169084,91856
28225,46898
32159,146927
158138,75132
28327,43549
42972,112941
20061,24119
24475,213330
28082,77897
26357,115378
25217,25124
36463,22599
24243,186212
69524,31189
164670,54423
48782,37155
55368,24316
99277,27636
35271,55850
52440,85650
59192,119781
25964,74419
23491,132568
26512,145160
35148,183421
30574,159269
23032,38450
31493,76073
28949,28487
35539,46697
51921,80397
62755,58341
48739,158271
22908,22027
28809,85303
85295,262607
29177,87021
33360,34288
132001,171290
28081,221632
62361,38525
69462,104551
26083,23893
45877,57789
61371,173696
45482,40575
108418,50197
59059,204969
121053,91964
35300,20373
81260,60605
82900,101848
34690,41392
38077,72345
40279,85689
28149,38548
53157,74012
94525,48789
30363,35589
21933,35616
40049,64986
128803,41963
,44437
,142425
,83780
,60441
,27139
,116028
,26277
,32292
,33831
,31969
,37113
