University,Hours to Complete
CSUF,140.5112389
CSUF,130.7081679
CSUF,146.8308262
CSUF,128.673342
CSUF,149.5372489
CSUF,172.5955019
CSUF,174.5832619
CSUF,131.126244
CSUF,107.5546827
CSUF,128.0224122
CSUF,184.4397956
CSUF,124.0226896
CSUF,121.5294321
CSUF,96.69771181
CSUF,147.476295
CSUF,143.8776096
CSUF,139.6541863
CSUF,123.3478994
CSUF,146.0855538
CSUF,115.2612645
CSUF,142.0584079
CSUF,142.252167
CSUF,140.4063991
CSUF,164.9231468
CSUF,115.4451781
CSUF,119.4204575
CSUF,177.1795901
CSUF,150.3229892
CSUF,162.3449743
CSUF,158.4562418
CSUF,148.2885463
CSUF,140.6997518
CSUF,145.2027511
CSUF,160.6784714
CSUF,143.5919512
CSUF,157.9036498
CSUF,91.00600957
CSUF,139.7956448
CSUF,150.6259655
CSUF,111.6012541
CSUF,122.3155766
CSUF,163.6903831
CSUF,109.8892613
CSUF,115.2459017
CSUF,111.2782465
CSUF,147.0654806
CSUF,131.4069636
CSUF,155.6796753
CSUF,142.1074399
CSUF,189.7976947
CSUF,137.4668913
CSUF,147.2192205
CSUF,137.4322016
CSUF,114.9446505
CSUF,144.9135774
CSUF,161.0953931
CSUF,136.8760854
CSUF,140.9146618
CSUF,134.9746757
CSUF,112.0319391
CSUF,127.581284
CSUF,152.5537167
CSUF,162.8132502
CSUF,154.7464587
CSUF,130.6678441
CSUF,154.332934
CSUF,140.4811611
CSUF,113.16937
CSUF,146.8701948
CSUF,141.4741307
CSUF,145.1237691
CSUF,160.3144469
CSUF,108.1176399
CSUF,148.3300623
CSUF,167.9536203
CSUF,77.45663773
CSUF,159.6741938
CSUF,150.8984229
CSUF,162.9184916
CSUF,172.0244134
CSUF,128.6196582
CSUF,114.4992084
CSUF,129.6823871
CSUF,159.3136688
CSUF,165.9558049
CSUF,128.5822656
CSUF,138.4681428
CSUF,154.4700398
CSUF,161.8213672
CSUF,144.161244
CSUF,166.0628419
CSUF,158.1690571
CSUF,127.3615031
CSUF,142.1561992
CSUF,157.1006043
CSUF,147.8489251
CSUF,124.4605317
CSUF,141.3442544
CSUF,147.6645623
CSUF,110.5694303
CSUF,152.1831487
CSUF,109.9576359
CSUF,148.1509904
CSUF,191.7205092
CSUF,154.3556235
CSUF,135.6357153
CSUF,146.6271406
CSUF,159.7441841
CSUF,116.8706706
CSUF,148.1342459
CSUF,138.133934
CSUF,128.5596732
CSUF,130.6808797
CSUF,178.7429625
CSUF,94.37668621
CSUF,162.1268869
CSUF,141.4374194
CSUF,165.4834549
CSUF,110.8014294
CSUF,94.90681351
CSUF,180.0420389
CSUF,130.3612395
CSUF,115.9786865
CSUF,129.9255133
CSUF,137.5784991
CSUF,154.6960805
CSUF,107.6825354
CSUF,132.2923638
CSUF,108.2496126
CSUF,133.6328163
CSUF,138.8305507
CSUF,146.8291216
CSUF,148.2047327
CSUF,144.3617766
CSUF,158.6898636
CSUF,136.7936853
CSUF,147.26422
CSUF,194.6777762
CSUF,177.3861145
CSUF,138.6674674
CSUF,169.3808533
CSUF,153.1685977
CSUF,167.1421841
CSUF,98.69444901
CSUF,133.4666767
CSUF,184.2227677
CSUF,140.1810481
CSUF,152.0305331
CSUF,129.9976322
CSUF,119.1496077
CSUF,131.0630923
CSUF,119.7440076
CSUF,167.2731365
CSUF,144.0751546
CSUF,134.6752414
CSUF,143.3967589
CSUF,164.4017283
CSUF,132.7150895
CSUF,151.2195956
CSUF,129.5987798
CSUF,166.0688452
CSUF,144.0159044
CSUF,186.2088319
CSUF,86.62588418
CSUF,118.5441745
CSUF,133.0952611
CSUF,166.8260923
CSUF,112.6482651
CSUF,121.6099903
CSUF,146.8581512
CSUF,145.9293568
CSUF,123.6243985
CSUF,115.6711883
CSUF,159.6482912
CSUF,113.0512766
CSUF,126.295465
CSUF,155.470865
CSUF,158.9285237
CSUF,124.3413397
CSUF,138.4550126
CSUF,160.7703874
CSUF,146.9855025
CSUF,166.2294156
CSUF,149.9064153
CSUF,143.6308717
CSUF,148.0121495
CSUF,116.4872804
CSUF,154.548559
CSUF,112.5316442
CSUF,139.7928346
CSUF,130.5975965
CSUF,135.9287942
CSUF,171.1984559
CSUF,130.1374002
CSUF,132.9154528
CSUF,122.2505121
CSUF,121.8601376
CSUF,182.9992442
CSUF,154.1852495
CSUF,161.376884
CSUF,132.6799183
CSUF,138.1768738
