region,week_end,SUBSCRIBERS,Total_Calls_Offered,DEV_CNT_ARRIS,DEV_CNT_CSICO,DEV_CNT_MOTOROLA,DEV_CNT_NETGEAR,DEV_CNT_UBEE,DEV_CNT_OTHER,STARTER,SEASONAL,ULTIMATE,ESSENTIAL,C2C,PREMIER,PREFERRED,NO_TIER,GIGABIT
Southeast,10/5/14,57444,2107,12240,36816,42880,5360,1288,10196,0.078099839,0.002677602,0.010710407,0.236040894,0.01260158,0.109369734,0.550350148,0.000149796,0
Southeast,10/12/14,57503,1740,12131,36858,42821,5474,1372,10196,0.077537376,0.002655771,0.010753088,0.2359922,0.012833132,0.10920234,0.550877519,0.000148575,0
Southeast,10/19/14,57494,1603,12040,36948,42819,5574,1516,10190,0.07710177,0.002636431,0.010730088,0.235693215,0.012997788,0.109089233,0.551603982,0.000147493,0
Southeast,10/26/14,57463,1551,11955,36974,42765,5632,1683,10193,0.076682115,0.002637894,0.010826357,0.235633553,0.013079558,0.109271099,0.551722875,0.00014655,0
Southeast,11/2/14,57544,2255,11864,37117,42795,5745,1786,10195,0.076363372,0.002637611,0.010786917,0.235329428,0.013188053,0.109288027,0.552261069,0.000145523,0
Southeast,11/9/14,57708,1619,11794,37113,42738,5857,1895,10189,0.075877628,0.002725386,0.010919592,0.235249526,0.013320097,0.109232019,0.55253136,0.000144391,0
Southeast,11/16/14,57691,1690,11724,37200,42739,5969,1979,10187,0.075491988,0.002724307,0.011022691,0.234846041,0.013460229,0.109133599,0.553177761,0.000143385,0
Southeast,11/23/14,57661,1786,11635,37219,42735,6042,2100,10185,0.075205097,0.002776146,0.011104586,0.234370829,0.013524816,0.109088321,0.553787838,0.000142366,0
Southeast,11/30/14,57539,1480,11566,37185,42689,6083,2191,10181,0.075002656,0.002762137,0.01113708,0.234126563,0.013545097,0.1090159,0.554268919,0.000141648,0
Southeast,12/7/14,57875,1617,11506,37278,42716,6164,2339,10180,0.074615046,0.002780466,0.011174659,0.23366476,0.013638363,0.108930928,0.555054993,0.000140783,0
