"","x"
"1",14319
"2",16730.8207056652
"3",16293.5216267882
"4",9167.08924739369
"5",13825.1868409746
"6",20297.4662989579
"7",10238.7246229646
"8",9406.40160278145
"9",28543.4206161203
"10",47117.3585698092
"11",48770.3377735944
"12",28777.2846536825
"13",18780.357533336
"14",16546.4546028127
"15",11274.0340629579
"16",17183.7398182784
"17",34579.5355122985
"18",37647.7124103074
"19",21141.4036175916
"20",26256.1291256784
"21",30020.8052227016
"22",29814.0709035302
"23",28472.1891579212
"24",31759.7982513245
"25",21787.3689469509
"26",9437.63742442835
"27",27154.1966082047
"28",29406.64547697
"29",22502.3751285748
"30",2247.81261305155
"31",22299.1925552751
"32",13844.1372977973
"33",18414.2844072638
"34",35828.2223597085
"35",37758.7868388366
"36",36509.0237891693
"37",22505.1612846979
"38",21387.3863249777
"39",21210.3557393938
"40",7428.64155034375
"41",10459.2673133522
"42",6283.97629949688
"43",2795.70966501554
"44",5525.66088004706
"45",16032.0088170932
"46",25082.381060205
"47",27339.8319159539
"48",22766.1147728167
"49",30611.7456983787
"50",35631.7348174078
"51",21695.4690551673
"52",4914.65463838519
"53",22928.5539589501
"54",24412.8642721322
"55",23012.9249307821
"56",32692.6051991659
"57",38859.4777926761
"58",31070.8447601159
"59",12891.4016262863
"60",2986.64653509722
"61",15634.8994800129
"62",19874.1544604659
"63",14172.8482146057
"64",9197.97171708189
"65",6974.4250789881
"66",21820.4104758601
"67",15568.072354648
"68",12256.9658751395
"69",17815.5046595207
"70",24419.8774079145
"71",24195.2288004386
"72",3514.18844329864
"73",21748.789983999
"74",25876.9049019019
"75",27176.8216747169
"76",17831.7389867372
"77",8675.55811309753
"78",25470.4619741879
"79",21044.5294278981
"80",10708.1427962392
"81",7864.73897734404
"82",9664.09512340422
"83",19114.0947662862
"84",26298.0280839471
"85",19279.8934835303
"86",20056.6897971435
"87",17719.4868986822
"88",30033.412589399
"89",41536.3199448205
"90",21534.8144185166
"91",10923.269306076
"92",22975.7562103209
"93",19012.2917358996
"94",7800.4393577071
"95",14933.1931941599
"96",20224.9571927627
"97",16822.0475016049
"98",15844.5532697505
"99",18618.0564920512
"100",11720.956363421
"101",8630.39099308068
"102",22941.8292145894
"103",19690.1458059464
"104",8517.12666945936
"105",20501.8747448736
"106",21098.4897441392
"107",4738.08399097517
"108",10350.1114302709
"109",8916.1593479109
"110",18124.17792018
"111",14654.5054366323
"112",38791.8965256077
"113",42051.7975024708
"114",13795.9729824295
"115",31212.9221726429
"116",26056.7540857346
"117",10856.799870146
"118",21923.4017277865
"119",14705.3958181498
"120",9907.20092089725
"121",16916.3663248226
"122",19484.5941980789
"123",21497.4479826603
"124",26731.0553426066
"125",18424.3492865065
"126",16177.6669365763
"127",39027.8274784957
"128",45257.9849790491
"129",19742.4836031851
"130",24162.9481369512
"131",42257.7379759746
"132",37007.9607436098
"133",16941.5524717671
"134",39985.1246206134
"135",52441.0392136576
"136",33921.9654640693
"137",11086.4242548238
"138",10582.5356538757
"139",8283.24424131096
"140",24121.0259485131
"141",32176.6998555763
"142",27272.6837020382
"143",6372.22078131165
"144",22481.8507779265
"145",56846.4698802767
"146",63793.3096163581
"147",17134.3368140048
"148",31044.4452712474
"149",46349.3722588157
"150",47490.9057832357
